ATENÇÃO PRIMÁRIA À SAÚDE;;;;;;;;;;;;
DIRETRIZ 1 - Fortalecer a Atenção Primária à Saúde como ordenadora da Rede de Atenção à Saúde, garantindo acesso, longitudinalidade, coordenação do cuidado, integralidade e equidade à população de Parauapebas.;;;;;;;;;;;;
OBJETIVO 1.1 - Ampliar e qualificar a Atenção Primária à Saúde, assegurando cobertura, melhoria das infraestruturas, aprimoramento do processo de trabalho e valorização dos profissionais, resolutividade e coordenação do cuidado, com foco na universalização do acesso, à abrangência do cuidado integral, promoção da saúde e à prevenção de doenças e agravos.;;;;;;;;;;;;
Nº;Descrição da Meta;Indicador de Meta;Linha de Base do Indicador;;;Meta do PMS 2026 a 2029;Unidade de medida;Subfunção;2026;2027;2028;2029
;;;Ano ;Valor da linha de base ;Unidade de medida;;;;;;;
1.1.18;Aumentar a cobertura de acompanhamento das condicionalidades de saúde do Programa Bolsa Família – PBF nas vigências.;Proporção de acompanhamento das condicionalidades do Programa Bolsa Família realizados na 1ª vigência.;2024;76,02%;percentual;80%;percentual;301/;78%;78%;80%;80%
;;;;;;;;305/;;;;
;;;;;;;;306;;;;
1.1.19;Ampliar a identificação precoce do risco para TEA, por meio da aplicação do M-CHAT-R/F em 75% das crianças de 16 a 30 meses atendidas nas UBS até 2029, favorecendo o encaminhamento e o acompanhamento oportuno.;Percentual de crianças de 16 a 30 meses avaliadas com o instrumento M-CHAT-R/F.;2024;0;percentual;50%;percentual;301;13%;25%;38%;50%
1.1.20;Implantar pontos de telessaúde na APS.;Número de pontos de telessaúde implantados.;2024;0;número absoluto;10;número absoluto;301;3;3;2;2
1.1.21;Reduzir mortalidade infantil por meio da qualificação da atenção pré-natal, puericultura e identificação precoce de risco.;Taxa de Mortalidade Infantil.;2024;15,38;taxa;13,38;taxa;301/;14,88;14,38;13,88;13,38
;;;;;;;;302/;;;;
;;;;;;;;305;;;;
1.1.22;Ampliar e qualificar o cuidado integral no desenvolvimento infantil na Atenção Primária à Saúde, assegurando o acesso oportuno, o acompanhamento longitudinal e a adoção de boas práticas de promoção da saúde e do desenvolvimento de crianças de zero a dois anos de idade.;Proporção de crianças de zero a dois anos acompanhadas de forma integral pela Atenção Primária à Saúde.;2024;SI;percentual;51%;percentual;301;26%;36%;46%;51%
1.1.23;Reduzir a Mortalidade Materna no município, por meio da qualificação do pré-natal, identificação precoce de risco e resposta oportuna às urgências obstétricas.;Razão da mortalidade materna no município.;2024;89,16;razão;70;razão;301/ 302/ 305;84,3;79,5;74,7;70
1.1.24;Ampliar e qualificar o cuidado integral às gestantes e puérperas na Atenção Primária à Saúde, assegurando captação precoce, acompanhamento coordenado e contínuo, e adoção de boas práticas assistenciais ao longo da gestação e do puerpério.;Proporção de gestantes e puérperas acompanhadas de forma integral pela Atenção Primária à Saúde.;2024;SI;percentual;76%;percentual;301;45%;55%;65%;76%
1.1.25;Reduzir a proporção de gestações em adolescentes de 10 a 19 anos no município, por meio do fortalecimento das ações de saúde sexual e reprodutiva na Atenção Primária à Saúde.;Proporção de nascidos vivos de mães adolescentes de 10 a 19 anos em relação ao total de nascidos vivos no município.;2024;13,31%;percentual;12,70%;percentual;301;13,09%;12,96%;12,83%;12,70%
;;;;;;;;;;;;
1.1.26;Ampliar o percentual de exames de rastreamento de câncer de colo de útero de mulheres cadastradas na APS na faixa etária de 25 a 64 anos e com avaliação nos últimos 36 meses.;Percentual de mulheres de 25 a 64 anos cadastradas na APS com exame de rastreamento do câncer de colo do útero solicitado, realizado ou avaliado nos últimos 36 meses.;2024;SI;percentual;76%;percentual;301;45%;55%;65%;76%
;;;;;;;;;;;;
1.1.27;Ampliar o rastreamento de câncer de mama em mulheres e homens transgênero na faixa etária de 50 a 74 anos.;Proporção de mulheres e homens transgênero de 50 a 74 anos com registro de pelo ao menos 1 exames de mamografia de rastreamento solicitado, realizado ou avaliado nos últimos 24 meses.;2024;SI;percentual;51%;percentual;301/;26%;36%;46%;51%
;;;;;;;;302;;;;
1.1.28;Qualificar o cuidado integral às pessoas com diabetes na Atenção Primária à Saúde, fortalecendo a captação, o acompanhamento clínico regular e a adoção de boas práticas assistenciais, com foco na prevenção de complicações e na melhoria da qualidade de vida.;Proporção de pessoas com diabetes acompanhadas de forma integral na Atenção Primária à Saúde.;2024;SI;Percentual;76%;Percentual;301;45%;55%;65%;76%
1.1.29;Ampliar e qualificar o acompanhamento das pessoas com hipertensão na Atenção Primária à Saúde, assegurando acesso oportuno, monitoramento clínico contínuo e ações integradas de prevenção de agravos e complicações cardiovasculares.;Proporção de pessoas com hipertensão arterial acompanhadas de forma integral na Atenção Primária  à Saúde.;2024;SI;percentual;76%;Percentual;301;45%;55%;65%;76%
1.1.30;Fortalecer o cuidado integral à pessoa idosa na Atenção Primária à Saúde, com ênfase no acompanhamento longitudinal, na promoção da autonomia, na prevenção de agravos e na atenção às pessoas idosas em situação de maior vulnerabilidade.;Proporção de pessoas idosas acompanhadas de forma integral pela Atenção Primária à Saúde.;2024;SI;Percentual;76%;Percentual;301;45%;55%;65%;76%
1.1.31;Reduzir de internação de pessoas idosas por fratura de fêmur.;Reduzir a taxa de internação de pessoas idosas por fratura de fêmur.;2024;3,01;taxa;≤ 2,77;taxa;301/;≤ 2,94;≤ 2,89;≤ 2,83;≤ 2,77
;;;;;;;;302;;;;
1.1.32;Ampliar a cobertura de Saúde Bucal na APS. ;Cobertura populacional pela eSB vinculadas à eSF.;2024;26,13%;percentual;70%;percentual;301;45%;55%;65%;70%
1.1.33;Construir o Centro de Especialidades Odontológicas – CEO (Tipo III).;Centro de Especialidade Odontológica – CEO Tipo III construído.;2024;0;número absoluto;1;número absoluto;301;0;0;1;0
1.1.34;Implantar o Centro de Especialidades Odontológicas (CEO) Tipo III, ampliando o acesso da população aos serviços odontológicos especializados no município.;Centro de Especialidades Odontológicas - CEO (tipo III) habilitado.;2024;0;número absoluto;1;número absoluto;301;0;0;1;0
1.1.35;Aderir o Centro de Especialidade Odontológica (CEO) à Rede de Cuidado a Pessoas com Deficiência (RCPD) ampliando e qualificando o cuidado às especificidades das pessoas com deficiência que necessita de atendimento odontológico.;CEO-RCPD habilitado.;2024;0;número absoluto;1;número absoluto;301;0;0;1;0
1.1.36;Ampliar a proporção de atendimentos odontológicos a pessoa com deficiência.;Proporção de atendimentos odontológicos a pessoa com deficiência.;2024;26,64%;percentual;50%;percentual;301;35%;40%;45%;50%
1.1.37;Promover a reabilitação protética dos usuários da rede de saúde através do convênio com Laboratório Regional de Prótese Dentária (LRPD).;Número de próteses dentárias instaladas.;2024;800;número absoluto;1463;número absoluto;301;1265;1328;1394;1463
;;;;;;;;;;;;
1.1.38;Ampliar a cobertura de consulta programada de odontologia em gestante no município.  ;Proporção de gestante com pelo menos 01 consulta odontológica programada realizada.;2024;67%;percentual;85%;percentual;301;70%;75%;80%;85%
1.1.39;Qualificar anualmente os profissionais da Atenção Primária à Saúde (APS) nas áreas estratégicas e linhas de cuidado (saúde da mulher, da criança, do idoso, saúde mental, condições crônicas e etc).;Percentual de profissionais da APS capacitados.;2024;S/I;percentual;80%;percentual;301;60%;70%;75%;80%
1.1.40;Implantar o Programa Academia da Saúde com a construção e habilitação de Polos do Programa.;Número de Polo do Programa Academia da Saúde construído e habilitado.;2024;0;número absoluto;2;número absoluto;301;0;0;1;1
1.1.41;Ampliar a cobertura de médicos vinculados ao Programa Mais Médicos para Brasil garantindo provimento médico nas equipes de Saúde da Família prioritárias do município.;Número de equipes de Saúde da Família composta por médicos do Programa Mais Médicos.;2024;29;número absoluto;21;número absoluto;301;0;2;9;10
;;;;;;;;;;;;
ATENÇÃO ESPECIALIZADA EM SAÚDE - MÉDIA E ALTA COMPLEXIDADE;;;;;;;;;;;;
DIRETRIZ 2 - Organizar, ampliar e qualificar a Atenção Especializada e Hospitalar de Média e Alta Complexidade no município, garantindo acesso oportuno, redução de filas, integralidade do cuidado e fortalecimento das Redes de Atenção à Saúde, em consonância com as políticas e programas estadual e do Ministério da Saúde.;;;;;;;;;;;;
OBJETIVO 2.1 - Qualificar e ampliar a capacidade instalada e resolutiva da atenção especializada em saúde e hospitalar de média e alta complexidade alinhada com Rede de Atenção às Urgências, expandindo e implantado novas estruturas, habilitando novos serviços, garantindo acesso oportuno e atendimento integral à população de Parauapebas.;;;;;;;;;;;;
Nº;Descrição da Meta;Indicador de Meta;Linha de Base do Indicador;;;Meta do PMS 2026 a 2029;Unidade de medida;Subfunção;2026;2027;2028;2029
;;;Ano;Valor da linha de base;Unidade de medida;;;;;;;
2.1.1;Ampliar o número de Base Descentralizada do SAMU 192 com sua construção e habilitação para cobrir vazios assistenciais de saúde no  município. ;Número de Base Descentralizadas do SAMU 192 construídas e habilitadas.;2024;1;número absoluto;2;número absoluto;302;0;1;0;1
2.1.2;Ampliar o número de Unidade de Suporte Básico (USB) com habilitação e aquisição de veículos para transporte de pacientes no âmbito do SAMU 192. ;Número de veículo USB adquirido e habilitado.;2024;1;número absoluto;4;número absoluto;302;0;2;0;2
2.1.3;Ampliar o número de Unidade de Suporte Avançado (USA) com habilitação e aquisição de veículos para transporte de paciente no âmbito do SAMU 192  ;Número de veículo USA adquirido e habilitado.;2024;1;número absoluto;1;número absoluto;302;0;1;0;0
