ATENÇÃO PRIMÁRIA À SAÚDE;;;;;;;;;;;;
DIRETRIZ 1 - Fortalecer a Atenção Primária à Saúde como ordenadora da Rede de Atenção à Saúde, garantindo acesso, longitudinalidade, coordenação do cuidado, integralidade e equidade à população de Parauapebas.;;;;;;;;;;;;
OBJETIVO 1.1 - Ampliar e qualificar a Atenção Primária à Saúde, assegurando cobertura, melhoria das infraestruturas, aprimoramento do processo de trabalho e valorização dos profissionais, resolutividade e coordenação do cuidado, com foco na universalização do acesso, à abrangência do cuidado integral, promoção da saúde e à prevenção de doenças e agravos.;;;;;;;;;;;;
Nº;Descrição da Meta;Indicador de Meta;Linha de Base do Indicador;;;Meta do PMS 2026 a 2029;Unidade de medida;Subfunção;2026;2027;2028;2029
;;;Ano ;Valor da linha de base ;Unidade de medida;;;;;;;
2.4.5;Ampliar a realização de exames com finalidade diagnóstica por imagem realizados na rede própria e contratualizada, priorizando a redução de filas.;Percentual de exames diagnósticos especializados realizados.;2024;S/I;percentual;80%;percentual;302;60%;70%;80%;80%
2.4.6;Ampliar progressivamente a oferta de cirurgias eletivas na rede própria, referenciada e/ou contratualizada, com foco na redução da fila de cirurgia eletiva.;Número de cirurgias eletivas realizadas;2024;S/I;número absoluto;6.900;número absoluto;302;1800;1700;1700;1700
OBJETIVO 2.5 Qualificar a atenção materno-infantil na média e alta complexidade, garantindo assistência integral à gestante, ao parto, ao puerpério e ao recém-nascido fortalecendo a Rede Alyne no município e a integração com os demais pontos de atenção à Saúde.;;;;;;;;;;;;
;;;;;;;;;;;;
Nº;Descrição da Meta;Indicador de Meta;Linha de Base do Indicador;;;Meta do PMS 2026 a 2029;Unidade de medida;Subfunção;2026;2027;2028;2029
;;;Ano;Valor da linha de base;Unidade de medida;;;;;;;
2.5.1;Reestruturar e habilitar o Ambulatório de Gestação e Puerpério de Alto Risco – AGPAR ampliando o acesso ao pré-natal de alto risco e o cuidado compartilhado com APS.;Ambulatório de Gestação e Puerpério de Alto Risco – AGPAR reestruturado e habilitado.;2024;0;número absoluto;1;número absoluto;302;0;1;0;0
2.5.2;Implantar e habilitar o Ambulatório de seguimento do recém-nascido e da criança egressos de unidade neonatal - A-SEG qualificando o cuidado ao recém-nascido de risco, compartilhado com a APS.;A-SEG implantado e qualificado;2024;0;número absoluto;1;número absoluto;302;0;1;0;0
;;;;;;;;;;;;
2.5.3;Realizar consulta de pré-natal de alto risco.;Proporção de consultas de pré-natal de alto risco confirmadas.;2024;S/I;percentual;80%;percentual;302;80%;80%;80%;80%
2.5.4;Ampliar a realização dos exames laboratoriais de pré-natal preconizados para gestantes de risco habitual e alto risco.;Proporção de gestantes com exames laboratoriais preconizados para o pré-natal avaliados.;2024;S/I;percentual;80%;percentual;302;80%;80%;80%;80%
2.5.5;Ampliar a realização dos exames de imagem (ultrassom obstétrica) preconizado para gestantes de risco habitual e alto risco.;Proporção de gestantes com pelo menos 01 ultrassom obstétrica avaliada.;2024;S/I;percentual;80%;percentual;302;80%;80%;80%;80%
2.5.6;Aumentar a proporção de parto normal no SUS.;Proporção de parto normal no SUS.;2024;52%;percentual;59,80%;Percentual;302;53,95%;55,90%;57,85%;59,80%
2.5.7;Habilitar a Maternidade do HGP em Gestação de Alto Risco.;Maternidade do HGP habilitada em Gestação de Alto Risco.;2024;0;número absoluto;1;número absoluto;302;0;0;1;0
2.5.8;Implantar e habilitar leitos de terapia intensiva neonatal.;UTINeo implantada e habilitada;2024;0;número absoluto;10;número absoluto;302;0;0;10;0
2.5.9;Implantar e habilitar 5 leitos de UCI Neonatal Canguru.;UCI Neonatal Canguru implantada e habilitada (05 leitos).;2024;0;número absoluto;5;número absoluto;302;0;0;5;0
2.5.10;Manter os 10 leitos de UCI Neonatal Convencional.;UCI Neonatal Convencional funcionando;2024;10;Leitos;10;número absoluto;302;10;10;10;10
2.5.11;Reestruturar e habilitar o CPNi tipo II com 5 PPP.;CPNi tipo II, com 5 PPP habilitados.;2024;0;número absoluto;5;número absoluto;302;0;5;0;0
2.5.12;Implantar e habilitar a Casa da Gestante, Bebê e Puérpera.;Casa da Gestante, Bebê e Puérpera implantada e habilitada.;2024;0;número absoluto;1;número absoluto;302;0;0;1;0
2.5.13;Construção da Casa da Gestante, Bebê e Puérpera.;Casa da Gestante, Bebê e Puérpera construída.;2024;0;número absoluto;1;número absoluto;302;0;0;1;0
2.5.14;Realizar articulação interfederativa com o Governo Federal para construção de uma Maternidade para o município.;Maternidade construída;2024;0;número absoluto;1;número absoluto;302;0;0;0;1
2.5.15;Habilitar o Banco de Leite Humano do HGP.;Banco de Leite Humano habilitado;2024;0;número absoluto;1;número absoluto;302;0;0;1;0
OBJETIVO 2.6 – Estruturar, ampliar e qualificar a rede e os serviços de média e alta complexidade, assegurando retaguarda assistencial resolutiva à Atenção Primária e à Atenção Especializada em conformidade as redes de atenção à saúde.;;;;;;;;;;;;
Nº;Descrição da Meta;Indicador de Meta;Linha de Base do Indicador;;;Meta do PMS 2026 a 2029;Unidade de medida;Subfunção;2026;2027;2028;2029
;;;Ano;Valor da linha de base;Unidade de medida;;;;;;;
2.6.1;Assegurar o funcionamento contínuo e qualificado dos serviços da Atenção Especializada em Saúde por meio da aquisição de materiais de consumo e serviços de manutenção necessárias para realização das atividades.;Percentual de serviços da Atenção Especializada abastecidos regularmente com materiais de consumo e serviços de manutenções essenciais.;2024;S/I;percentual;95%;percentual;302/;80%;85%;90%;95%
;;;;;;;;122;;;;
2.6.2;Assegurar a disponibilidade de frota de veículos dimensionada como necessária para atender às demandas operacionais da Atenção Especialidade em Saúde.;Percentual de veículos disponíveis em relação à frota necessária planejada.;2024;S/I;percentual;≥90%;Percentual;302;≥90%;≥90%;≥90%;≥90%
;;;;;;;;122;;;;
2.6.3;Promover aquisição/ampliação de frota destinada ao transporte sanitário eletivo para os usuários da rede especializada (SAD, policlínica etc.).;Número de ambulâncias adquiridas;2024;S/I;número absoluto;4;número absoluto;302;0;2;1;1
2.6.4;Qualificar as estruturas da Atenção Especializada à Saúde por meio da aquisição de bens permanentes (equipamentos, mobiliário e etc.) necessárias para realização das atividades.;Percentual de serviços da Atenção Especializada com equipamentos, mobiliários e bens permanentes adequados às suas atividades.;2024;S/I;percentual;90%;percentual;302/;75%;80%;85%;90%
;;;;;;;;122;;;;
2.6.5;Implantar o Centro de Referência à Saúde da Mulher;Centro de Referência a Saúde da Mulher implantado.;2024;0;número absoluto;1;número absoluto;302;0;0;0;1
2.6.6;Aumentar o número de consultas especializadas mensais realizadas na Policlínica.;Número de consultas especializadas realizadas na Policlínica;2024;3150;número absoluto;4.725;número absoluto;302;3.544;3.938;4.332;4.725
2.6.7;Construir um Hemonúcleo em articulação interfederativa com o Estado do Pará.;Serviço de sangue e hemoderivados implantado.;2024;0;número absoluto;1;número absoluto;302;0;0;1;0
2.6.8;Ampliar a realização de exames laboratoriais em análise clínica garantindo acesso e qualidade em tempo oportuno;Percentual de exames laboratoriais de análises clínicas realizados.;2024;S/I;percentual;≥80%;número absoluto;302;60%;70%;80%;80%
;;;;;;;;;;;;
2.6.9;Ampliar a realização dos exames de mamografia de rastreamentos para mulheres de 50 a 74 anos;Percentual de exames de mamografia de rastreamento realizado em mulheres de 50 a 74 anos;2024;0,32;percentual;≥60%;número absoluto;302;30%;40%;50%;60%
2.6.10;Ampliar a realização de exames citopatológico em mulheres na faixa etária de 25 a 64 anos.;Percentual de exames citopatológicos realizados em mulheres de 25 a 64 anos.;2024;0,42;número absoluto;≥80%;número absoluto;302;60%;70%;80%;80%
2.6.11;Realizar articulação interfederativa com o Estado do Pará e Ministério da Saúde para construção de Hospital Regional de Alta Complexidade no município.;Hospital Regional de Alta Complexidade construído.;2024;0;número absoluto;1;número absoluto;302;0;0;1;0
2.6.12;Informatizar os processos de trabalho das unidades assistências e administrativas do HGP.;Percentual de Implantação do Prontuário Eletrônico Integrado no HGP;2024;60%;Percentual;95%;Percentual;302;65%;70%;80%;95%
2.6.13;Aumentar os protocolos implantados nas unidades do Hospital Geral de Parauapebas.;Taxa de Protocolos Implantados na Instituição;2024;60%;Percentual;95%;Percentual;302;80%;85%;90%;95%
2.6.14;Reduzir taxa de mortalidade hospitalar no HGP.;Taxa de Mortalidade Institucional;2024;3,8;decimal;3,5;decimal;302;3,8;3,7;3,6;3,5
2.6.15;Reduzir taxa de infecção geral do HGP.;Taxa de Infecção Hospitalar;2024;8%;percentual;≤5%;percentual;302;≤7,5%;≤6,5%;≤6%;≤5%
2.6.16;Reduzir o tempo médio de internação hospitalar.;Tempo Médio de Internação Hospitalar;2024;4.0;número absoluto dias;3,4;número absoluto dias;302;3,8;3,7;3,6;3,4
2.6.17;Manter número de evento Sentinela.;Número de evento Sentinela mantida em zero.;2024;4;número absoluto;0;número absoluto;302;0;0;0;0
2.6.18;Realizar articulação interfederativa para Implantação de serviços de hemodinâmica no município no HGP ou rede credenciada.;Serviço de Hemodinâmica implantado.;2024;0;número absoluto;1;número absoluto;302;0;0;1;0
2.6.19;Ampliar a capacidade instalada de Terapia Renal Substitutiva (hemodiálise) no município.;Número de cadeiras de hemodiálise habilitadas.;2024;10;número absoluto;37;número absoluto;302;37;0;0;0
2.6.20;Ampliar o acesso ao diagnóstico e tratamento oncológico no município, mediante ampliação da oferta de atendimentos com base nos tipos de câncer de maior incidência na região.;Percentual tratamento de câncer atendidos no serviço oncológico credenciado.;2024;28,57%;percentual;≥60%;percentual;302;28,57%;40%;50%;60%
;;;;;;;;;;;;
2.6.21;Capacitar os profissionais da DAES visando à Qualidade da Assistência em Saúde no município.;Percentual de profissionais da DAES capacitados.;2024;S/I;percentual;≥80%;percentual;302;50%;60%;70%;80%
2.6.22;"Promover a qualificação dos profissionais da Rede de Urgência e Emergência por meio da realização de cursos especializados em atendimento pré-hospitalar e suporte avançado à vida (AMLS; ACLS; PHTLS; BLS e Controle de Hemorragias).";Percentual de profissionais da Rede de Urgências e Emergência capacitados.;2024;S/I;percentual;≥80%;percentual;302;50%;60%;70%;80%
;;;;;;;;;;;;
REGULAÇÃO CONTROLE E AVALIAÇÃO;;;;;;;;;;;;
DIRETRIZ 3: Fortalecer os mecanismos de regulação, controle e avaliação dos serviços de saúde no âmbito municipal, garantindo o acesso ordenado, equitativo e oportuno aos exames, consultas especializadas, cirurgias eletivas e serviços especializados, com monitoramento contínuo de desempenho e redução de filas.;;;;;;;;;;;;
OBJETIVO 3.1: Organizar, monitorar e qualificar os processos de regulação, avaliação e auditoria da rede de saúde, assegurando o acesso eficiente aos serviços conforme prioridades clínicas, eficiência no uso de recursos e cumprimento das diretrizes do SUS.;;;;;;;;;;;;
Nº;Descrição da Meta;Indicador de Meta;Linha de Base do Indicador;;;Meta do PMS 2026 a 2029;Unidade de medida;Subfunção;2026;2027;2028;2029
;;;Ano ;Valor da linha de base ;Unidade de medida;;;;;;;
3.1.1;Reestruturar a Diretoria de Regulação, Controle e Avaliação (DIRCA) em conformidade com a Política Nacional de Regulação do SUS.;Complexo Regulador instituído por ato normativo;2024;0;número absoluto;1;número absoluto;122;1;0;0;0
3.1.2;Adequar espaço físico atual de funcionamento do Complexo Regulador Municipal, garantindo condições técnicas, tecnológicas e operacionais.;Espaço físico adequado.;2024;0;número absoluto;1;número absoluto;122;0;1;0;0
3.1.3;Construir o prédio do Complexo Regulador do município atendendo requisitos e parâmetros estruturais estabelecidos pelo MS e em conformidade com a Política Nacional de Regulação do SUS.;Estrutura física do Complexo Regulador construído.;2024;0;número absoluto;1;número absoluto;122;0;0;0;1
3.1.4;Adquirir bens permanentes (mobiliário, equipamentos e infraestrutura tecnológica) para o complexo regulador conforme a Política Nacional de Regulação do SUS, até 2028.;Percentual de bens permanentes preconizado adquiridos;2024;0;percentual;90%;percentual;122;60%;70%;80%;90%
3.1.5;Implantar/implementar sistema informatizado integrado para gestão da regulação ambulatorial, hospitalar e de urgência, articulado aos sistemas oficiais do SUS.;Sistema implantado e operando (Sim/Não);2024;0;número absoluto;1;número absoluto;122;1;0;0;0
3.1.6;Implantar protocolos municipais de classificação de risco e priorização, por tipos de demandas regulatórias, alinhada com à Atenção Primária à Saúde (APS), Atenção Especializada, Núcleos Internos de Regulação (NIR) e Núcleo de Gestão do Cuidado (NGC).;Percentual de protocolos implantados e pactuados com os pontos da rede.;2024;0;percentual;100%;percentual;122;50%;70%;80%;100%
3.1.7;Implantar fluxos regulatórios padronizados integrados à Atenção Primária à Saúde (APS), Atenção Especializada, Núcleos Internos de Regulação (NIR) e Núcleo de Gestão do Cuidado (NGC).;Percentual de fluxos regulatórios padronizados e implantados;2024;0;percentual;100%;percentual;122;50%;70%;80%;100%
3.1.8;Implantar protocolo municipal de transição do cuidado, garantindo contrarreferência registrada em das altas hospitalares.;Percentual de altas com contrarreferência registrada.;2024;0;percentual;100%;percentual;122;50%;70%;80%;100%
3.1.9;Implantar protocolo municipal de transporte sanitário integrado à regulação, garantindo priorização conforme classificação clínica.;Protocolo de transporte sanitário integrado implantado.;2024;0;percentual;100%;percentual;122;50%;70%;80%;100%
3.1.10;Monitorar mensalmente as filas reguladas, com emissão de relatório gerencial para a gestão municipal.;Percentual de competências monitoradas;2024;0;percentual;100%;percentual;122;100%;100%;100%;100%
3.1.11;Reduzir a taxa de absenteísmo dos procedimentos regulados.;Taxa de absenteísmo.;2024;S/I;percentual;≤6%;percentual;122;9,80%;≤8,8%;≤7,0%;≤6%
3.1.12;Garantir que as solicitações de leitos regulados sejam autorizadas no prazo previsto no protocolo de classificação clínica.;Percentual de solicitações autorizadas dentro do prazo.;2024;0;percentual;≥%90;percentual;122;50%;60%;70%;90%
3.1.13;Garantir atendimento das solicitações de transporte sanitário classificadas como prioritárias dentro do prazo estabelecido em protocolo.;Percentual de transportes atendidos no prazo.;2024;0;percentual;≥90%;percentual;122;50%;70%;80%;90%
3.1.14;Implantar programa permanente de educação continuada em regulação e gestão do acesso, com realização anual de ações formativas.;Número de ações formativas realizadas por ano.;2024;0;número absoluto;8;número absoluto;122;2;2;2;2
3.1.15;Aumentar a taxa de auditoria realizada pelo DIRCA de procedimentos ambulatoriais e hospitalares.;Taxa de auditoria dos procedimentos (ambulatorial e hospitalar);2024;60%;percentual;≥90%;percentual;122;70%;80%;90%;90%
3.1.16;Reduzir as inconsistências no envio de dados da produção do sistema de informação ambulatorial – Sia.;Percentual de inconsistências nos registros da produção ambulatorial (SIA);2024;S/I;Percentual;30%;percentual;122;10%;15%;25%;30%
3.1.17;Garantir acesso oportuno e equitativo ao Tratamento Fora do Domicílio (TFD), estruturando e implantando fluxo regulatório padronizado, com monitoramento sistemático dos processos, assegurando que, no mínimo, 90% das solicitações elegíveis sejam analisadas, autorizadas e encaminhadas dentro do prazo estabelecido em protocolo municipal.;Percentual de solicitações de TFD elegíveis analisadas e autorizadas dentro do prazo estabelecido no protocolo municipal.;2024;S/I;Percentual;90%;percentual;122;50%;70%;80%;90%
3.1.18;Implantar, até o final do quadriênio do PMS, o modelo de Ofertas de Cuidado Integrado (OCI) no âmbito da Regulação Municipal, garantindo que, no mínimo, 80% dos encaminhamentos para Atenção Ambulatorial Especializada das linhas prioritárias ocorram por meio de OCI, com definição de fluxos regulatórios, protocolos pactuados e monitoramento sistemático das filas.;Percentual de encaminhamentos para especialidades prioritárias realizados por meio de OCI.;2024;0;Percentual;80%;percentual;122;20%;40%;60%;80%
3.1.19;Implantar rotina permanente de qualificação e depuração da fila de cirurgias eletivas, com revisão periódica das solicitações, assegurando que 80% dos registros sejam atualizados quanto à indicação clínica, condição do paciente e manutenção do interesse na realização do procedimento.;Percentual de registros da fila cirúrgica revisados e atualizados no período.;2024;S/I;Percentual;80%;percentual;122;20%;40%;60%;80%
;;;;;;;;;;;;
ASSISTÊNCIA FARMACÊUTICA;;;;;;;;;;;;
DIRETRIZ 4: Fortalecer a Assistência Farmacêutica no município de Parauapebas garantindo o acesso a medicamentos e insumos estratégicos, seu uso racional em consonância as necessidades do SUS e bem-estar da população, promovendo educação continuada, inserção e valorização dos profissionais da Assistência Farmacêutica e saúde digital com sistemas de informação e de gerenciamento.;;;;;;;;;;;;
OBJETIVO 4.1: Ampliar o acesso da população a medicamentos e insumos estratégicos, promovendo o uso racional, seguro e eficaz e serviços farmacêuticos: qualificando a assistência e cuidado farmacêutico, a educação continuada, a descentralização do sistema de informação, o gerenciamento para os serviços público de saúde do município e o fortalecimento do uso de planta medicinais e fitoterápicos como alternativa terapêutica.;;;;;;;;;;;;
Nº;Descrição da Meta;Indicador de Meta;Linha de Base do Indicador;;;Meta do PMS 2026 a 2029;Unidade de medida;Subfunção;2026;2027;2028;2029
;;;Ano ;Valor da linha de base ;Unidade de medida;;;;;;;
4.1.1;Reestruturar e manter ativa a Comissão de Farmácia e Terapêutica (CFT) no âmbito municipal.;CFT legalmente restruturada e ativa.;2024;0;número absoluto;1;número absoluto;122;1;0;0;0
4.1.2;Elaborar e atualizar a cada dois anos a Relação Municipal de Medicamentos Essenciais (REMUME) em conformidade com Relação Nacional de Medicamentos Essenciais (RENAME 2024), o perfil epidemiológico e assistenciais do município. ;REMUME elaborada e atualizada conforme a RENAME vigente.;2024;0;número absoluto;1;número absoluto;122;1;0;1;0
4.1.3;Ampliar o acesso aos medicamentos essenciais e insumos estratégicos padronizados na REMUME 2026 nas farmácias das UBS.;Percentual de medicamentos e insumos padronizados na REMUME dispensados nas farmácias das UBS.;2024;20%;percentual;80%;percentual;303/;≥50%;≥60%;≥70%;≥80%
;;;;;;;;122;;;;
4.1.4;Ampliar o abastecimento de medicamentos e insumos farmacêuticos para serviços especializado da MAC e urgência/emergência.;Percentual de medicamentos e insumos disponíveis nos serviços especializado da MAC e urgência/emergência conforme protocolos clínicos.;2024;20%;percentual;80%;percentual;303/;≥50%;≥60%;≥70%;≥80%
;;;;;;;;302;;;;
;;;;;;;;122;;;;
4.1.5;Ampliar o fornecimento das fórmulas às crianças cadastradas no Programa APLV.;Percentual de crianças cadastrada no programa recebendo as fórmulas prescrita.;2024;27%;percentual;75%;percentual;303;≥50%;≥60%;≥70%;≥75%
;;;;;;;;122;;;;
4.1.6;Ampliar o abastecimento de fraldas aos pacientes com cadastro ativo na Rede de Cuidado à Pessoas com Deficiência – RCPD. Em consonância com o protocolo municipal.;Percentual de pacientes ativos da RCPD com recebimento regular de fraldas.;2024;18%;percentual;75%;percentual;303;≥50%;≥60%;≥70%;≥75%
;;;;;;;;122;;;;
4.1.7;Implantar na APS, alternativas terapêuticas, planta medicinais (farmácia viva) e fitoterápicos da RENAME.;Número de alternativas terapêuticas implantadas na APS.;2024;0;número absoluto;2;número absoluto;303/       122;1;0;0;1
4.1.8;Garantir a presença do farmacêutico na gestão e cuidado farmacêutico em das farmácias do SUS municipal.;Percentual de farmácias públicas com profissional farmacêutico.;2024;12,90%;percentual;60%;percentual;122;≥30%;≥40%;≥50%;≥60%
4.1.9;Qualificar os serviços de Assistência Farmacêutica do SUS no município, conforme os eixos do Qualifar-SUS (Estrutura-equipamento e mobiliários, Gestão, Cuidado e Educação).;Percentual de farmácias públicas estruturadas e qualificadas de acordo com os eixos do Qualifar-SUS.;2024;0%;percentual;40%;percentual;303;≥10%;≥20%;≥30%;≥40%
4.1.10;Realizar a aquisição/construção/reforma de um prédio próprio para a Central de Abastecimento Farmacêutico do município.;Central de Abastecimento Farmacêutico funcionando em imóvel próprio que atenda os parâmetros das RDC’s sanitárias.;2024;0;número absoluto;1;número absoluto;122;0;0;0;1
4.1.11;Implantar soluções digitais na Assistência Farmacêutica municipal alcançando das farmácias públicas.;Percentual de soluções digitais (HÓRUS/ E- SUS AF) implantadas nas farmácias públicas.;2024;0%;percentual;60%;percentual;303;≥30%;≥40%;≥50%;≥60%
4.1.12;Reduzir novas demandas judiciais para fornecimento de medicamentos e insumos farmacêuticos relacionados as novas demandas para AF em 2024.;Percentual de novas demandas judiciais relacionadas à Assistência Farmacêutica.;2024;100% (22) processos novos;percentual;2%;percentual;122;≥0,5%;≥1%;≥1,5%;≥2%
4.1.13;Implantar o Sistema de Logística Reversa de Medicamentos nas Unidade de Saúde Municipais.;Percentual de unidades de saúde com sistema de logística reversa implantado.;2024;0%;percentual;50%;percentual;122;≥20%;≥30%;≥40%;≥50%
;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE;;;;;;;;;;;;
DIRETRIZ 5: Integrar e fortalecer de forma articulada todas as áreas da Vigilância em Saúde, ampliando a capacidade de prevenção, detecção, monitoramento e resposta a agravos, e promovendo ações intersetoriais que garantam proteção integral à saúde da população.;;;;;;;;;;;;
OBJETIVO 5.1: Integrar e fortalecer as ações de Vigilância em Saúde por meio da qualificação dos sistemas de informação, da ampliação da capacidade de detecção, monitoramento e resposta a agravos, do fortalecimento do trabalho intersetorial e da articulação  entre ações epidemiológicas, sanitárias, ambientais, de saúde do trabalhador e zoonoses, também com a Atenção Primária e demais níveis de atenção, garantindo ações mais oportunas, eficientes e orientadas às necessidades sanitárias e laborais da população.;;;;;;;;;;;;
Nº;Descrição da Meta;Indicador de Meta;Linha de Base do Indicador;;;Meta do PMS 2026 a 2029;Unidade de medida;Subfunção;2026;2027;2028;2029
;;;;;;;;;;;;
;;;Ano ;Valor da linha de base ;Unidade de medida;;;;;;;
5.1.1;Aumentar a proporção de casos de malária tratados em tempo oportuno. ;Proporção de casos de malária que iniciaram tratamento em tempo oportuno.;2024;24%;Percentual;70%;Percentual;305;70%;70%;70%;70%
5.1.2;Reduzir o percentual de casos de AIDS diagnosticados em estágio avançado. ;Percentual de casos novos de AIDS diagnosticados com LT-CD4 < 200 cels/mm3.;2024;34%;Percentual;30%;Percentual;305;30%;30%;30%;30%
5.1.3;Reduzir a incidência de AIDS em menores de 5 anos em 0 até 2029.;Número de casos novos de AIDS em menores de 5 anos.;2024;1;número absoluto;0;número absoluto;305;0;0;0;0
5.1.4;Ampliar a proporção de contatos de TB pulmonar examinados.;Proporção de contatos de TB examinados;2024;39,70%;Percentual;70%;Percentual;305;55%;60%;65%;70%
5.1.5;Reduzir o percentual de casos de sífilis congênita em relação ao total de casos de sífilis em gestantes.;Percentual de casos de sífilis congênita em relação ao total de casos de sífilis em gestantes.;2024;21%;Percentual;≤17%;Percentual;305;20%;19%;18%;17%
5.1.6;Alcançar e manter cobertura vacinal selecionadas (Pentavalente (3ª dose), Pneumocócica10-valente (2ª dose), Poliomielite (3ª dose) e Tríplice viral (1ª dose) em crianças menores de 1 ano de idade, conforme preconizado pelo Programa Nacional de Imunizações (PNI).;Proporção de vacinas selecionadas com cobertura ≥95%;2024;70%;Percentual;95%;Percentual;305;95%;95%;95%;95%
5.1.7;Capacitar as Unidades de Saúde, públicas e privadas, para a notificação de violências interpessoais e autoprovocadas.;Percentual de unidades de saúde capacitadas para notificação de violências;2024;S/I;Percentual;80%;Percentual;305;20%;40%;60%;80%
5.1.8;Alcançar e manter a realização de exames nos contatos de casos novos de hanseníase diagnosticados nos anos das coortes.;Proporção de contatos examinados de casos novos de hanseníase diagnosticados nos anos das coortes.;2024;80%;Percentual;82%;Percentual;305;82%;82%;82%;82%
5.1.9;Aumentar o número de atividades educativas realizadas pela vigilância sanitária.;Número de atividades educativas realizadas ao ano pela vigilância sanitária.;2024;29;número absoluto;70;número absoluto;305;40;50;60;70
5.1.10;Capacitar as Unidades de Saúde, públicas e privadas, para notificação de acidentes/doenças relacionadas ao trabalho.;Percentual de estabelecimentos de saúde com CNES ativo capacitados para notificação de acidentes/doenças relacionadas ao trabalho.;2024;S/I;Percentual;80%;Percentual;305;20%;40%;60%;80%
5.1.11;Construir uma nova sede para o Centro de Testagem e Acolhimento/Serviços de Atendimento Especializado (CTA/SAE), que atenda os pré-requisitos estruturais do Ministério da Saúde e da Vigilância Sanitária.;Nova sede do CTA/SAE construído.;2024;0;número absoluto;1;número absoluto;305 122;0;0;0;1
5.1.12;Reestruturar e ampliar a capacidade física e assistencial do CTA/SAE adequando sua estrutura às normativas do Ministério da Saúde e da Vigilância Sanitária, compatibilizando-a com a demanda epidemiológica da região.;CTA ampliada e reestruturada.;2024;0;número absoluto;1;número absoluto;305 122;0;1;0;0
;;;;;;;;;;;;
5.1.13;Qualificar os serviços da Vigilância em Saúde por meio do abastecimento regular de insumos, matérias de consumo e serviços de;Percentual de serviços da Vigilância em Saúde abastecidos regularmente com materiais de consumo, insumos e serviços de manutenções essenciais.;2024;S/I;percentual;90%;percentual;305;75%;80%;85%;90%
;Manutenção necessários para os desenvolvimentos das atividades.;;;;;;;122;;;;
5.1.14;Qualificar as estruturas e os serviços da Vigilância em Saúde por meio da aquisição de equipamentos, mobiliários e bens permanentes.;Percentual de serviços Vigilância em Saúde com equipamentos, mobiliários e bens permanentes adequados às suas atividades.;2024;S/I;percentual;90%;percentual;305;75%;80%;85%;90%
;;;;;;;;122;;;;
5.1.15;Garantir suporte logístico às equipes de Vigilância em Saúde mediante disponibilização de frota, assegurando mobilidade adequada para a execução das ações de inspeção, monitoramento, investigação e controle. ;Percentual de demandas de campo da Vigilância em Saúde atendidas com suporte de transporte adequado.;2024;S/I;percentual;90%;percentual;305;75%;80%;85%;90%
;;;;;;;;122;;;;
5.1.16;Estruturar a Unidade de Vigilância e Zoonoses – UVZ adequando sua estrutura as necessidades e as normativas do MS e da VISA.;UVZ estruturada.;2024;0;número absoluto;1;número absoluto;305 122;0;1;0;0
5.1.17;Realizar investigação dos óbitos maternos. ;Percentual de óbitos materno investigados.;2024;100%;percentual;100%;percentual;305;100%;100%;100%;100%
;;;;;;;;122;;;;
5.1.18;Realizar investigação dos óbitos infantil e fetal.;Percentual de óbitos infantil e fetal investigados.;2024; 90%;percentual;90%;percentual;305;90%;90%;90%;90%
;;;;;;;;122;;;;
5.1.19;Implementar e manter ativo os Comitês Municipal de Prevenção da Mortalidade Materna Infantil e Fetal. ;Comitês de Prevenção da Mortalidade Materna, Infantil e Fetal implantados.;2024;1;número absoluto;1;número absoluto;305 122;1;1;1;1
5.1.20;Manter ou ampliar o resultado do município na Avaliação do Programa de Qualificação das Ações de Vigilância em Saúde (PQA-VS).;Percentual alcançado pelo município no PQA-VS.;2024;90%;percentual;≥90%;percentual;304;≥90%;≥90%;≥90%;≥90%
;;;;;;;;305;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
GESTÃO EM SAÚDE DO SUS;;;;;;;;;;;;
DIRETRIZ 6: Qualificar a gestão do Sistema Municipal de Saúde com foco na governança, regionalização, articulação interfederativa,  fortalecimento do planejamento, da regulação, controle e avaliação, da gestão financeira, da participação social, da transparência e da qualidade dos serviços e da incorporação e inovação da saúde digital, garantindo eficiência administrativa e melhoria contínua da atenção à saúde;;;;;;;;;;;;
OBJETIVO 6.1: Fortalecer a gestão administrativa da Secretaria Municipal de Saúde, assegurando organização, eficiência, transparência e suporte adequado às ações e serviços de saúde do município.;;;;;;;;;;;;
Nº;Descrição da Meta;Indicador de Meta;Linha de Base do Indicador;;;Meta do PMS 2026 a 2029;Unidade de medida;Subfunção;2026;2027;2028;2029
;;;;;;;;;;;;
;;;Ano ;Valor da linha de base ;Unidade de medida;;;;;;;
6.1.1;Implementar a Gestão Integrada dos Resíduos de Serviços de Saúde (RSS) nas unidades pública de saúde do município, garantindo manejo, coleta, transporte, tratamento e destinação final ambientalmente adequada, conforme legislação sanitária e ambiental vigente. ;Percentual de unidades de saúde com manejo e destinação adequada de RSS conforme legislação vigente.;2024;100%;percentual;100%;percentual;122;25%;50%;75%;100%
6.1.2;Realizar articulação intersetorial para a construção de sede própria da Secretária Municipal de Saúde.;Sede da SEMSA construída.;2024;0;número absoluto;1;número absoluto;122;0;0;0;1
