ATENÇÃO PRIMÁRIA À SAÚDE												
DIRETRIZ 1 - Fortalecer a Atenção Primária à Saúde como ordenadora da Rede de Atenção à Saúde, garantindo acesso, longitudinalidade, coordenação do cuidado, integralidade e equidade à população de Parauapebas.												
OBJETIVO 1.1 - Ampliar e qualificar a Atenção Primária à Saúde, assegurando cobertura, melhoria das infraestruturas, aprimoramento do processo de trabalho e valorização dos profissionais, resolutividade e coordenação do cuidado, com foco na universalização do acesso, à abrangência do cuidado integral, promoção da saúde e à prevenção de doenças e agravos.												
Nº	Descrição da Meta	Indicador de Meta	Linha de Base do Indicador			Meta do PMS 2026 a 2029	Unidade de medida	Subfunção	2026	2027	2028	2029
			Ano 	Valor da linha de base 	Unidade de medida							
1.1.1	Ampliar a cobertura potencial da APS.	Cobertura potencial da Atenção Primária à Saúde no município.	2024	70,19%	percentual	80%	percentual	301	74%	76%	78%	80%
1.1.2	Ampliar a cobertura populacional de Agentes Comunitários de Saúde na Atenção Primária à Saúde.	Cobertura populacional de ACS no município.	2024	76,64%	percentual	90%	percentual	301	81%	84%	87%	90%
1.1.3	Ampliar o número de equipes Multiprofissionais vinculadas à eSF.	Número de equipes Multiprofissionais (eMulti) implantadas.	2024	6	número absoluto	10	número absoluto	301	4	2	2	2
1.1.4	Implantar equipe de Consultório na Rua – eCR. 	Número de equipes de Consultório na Rua implantadas.	2024	0	número absoluto	1	número absoluto	301	1	0	0	0
1.1.5	Promover a integralidade e a continuidade da assistência na Atenção Primária para as populações rurais, através da ampliação da frota destinada ao transporte sanitário eletivo municipal.	Número de veículos de transporte sanitário eletivo adquiridos. 	2024	3	número absoluto	6	número absoluto	301 e 122	3	1	1	1
1.1.6	Promover a equidade no acesso aos serviços de saúde, garantindo suporte logístico para que as equipes da APS realizem busca ativa e assistência domiciliar a idosos e comunidades rurais de difícil acesso.	Número de veículos próprios adquiridos para transporte das equipes da Atenção Primária.	2024	0	número absoluto	12	número absoluto	301 e 122	3	3	3	3
												
												
1.1.7	Elevar e estabilizar o Índice de Abastecimento Prioritário (IAP) nas unidades de saúde, visando atingir a meta pactuada de disponibilidade dos itens de custeio (materiais de consumo, insumos e etc.) e serviços de manutenção.	Índice de Abastecimento Prioritário (IAP) das Unidades Básicas de Saúde.	2024	S/I	índice	10	índice	301 e 122	7	8	9	10
